2017/10/05 17:42:03.316 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:43:00.997 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:43:16.365 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:43:20.522 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:43:46.263 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:48:41.454 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:48:45.514 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:48:51.569 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:48:59.706 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:49:03.101 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:49:07.026 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:49:08.536 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:49:17.430 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:49:44.738 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:49:48.669 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/05 17:49:50.369 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/05 17:49:59.043 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 12:27:13.267 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 12:27:18.353 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 12:27:20.359 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 12:27:28.500 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 14:54:49.263 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 14:54:53.280 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 14:54:59.781 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 14:55:07.948 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 14:55:10.404 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 14:55:18.597 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 15:00:17.307 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
